,video_id,labeler_2,labeler_1,start_seconds,end_seconds,duration,start_frame,end_frame
0,-3gFrKiC99I,background,background,0.0,5.0,5,0,75
1,-3gFrKiC99I,background,background,5.0,10.0,5,75,150
2,-3gFrKiC99I,background,background,10.0,15.0,5,150,225
3,-3gFrKiC99I,background,background,15.0,20.0,5,225,300
4,-3gFrKiC99I,background,background,20.0,25.0,5,300,375
5,-3gFrKiC99I,background,background,25.0,30.0,5,375,450
6,-3gFrKiC99I,background,background,30.0,35.0,5,450,525
7,-3gFrKiC99I,background,background,36.0,41.0,5,540,615
8,-3gFrKiC99I,background,background,41.0,46.0,5,615,690
9,-3gFrKiC99I,background,background,46.0,51.0,5,690,765
10,-3gFrKiC99I,background,background,51.0,56.0,5,765,840
11,-3gFrKiC99I,background,background,56.0,61.0,5,840,915
12,-3gFrKiC99I,background,background,61.0,66.0,5,915,990
13,-3gFrKiC99I,background,background,66.0,71.0,5,990,1065
14,-3gFrKiC99I,background,background,71.0,76.0,5,1065,1140
15,-3gFrKiC99I,background,background,76.0,81.0,5,1140,1215
16,-3gFrKiC99I,background,background,81.0,86.0,5,1215,1290
17,-3gFrKiC99I,background,background,86.0,91.0,5,1290,1365
18,-3gFrKiC99I,background,background,91.0,96.0,5,1365,1440
19,-3gFrKiC99I,background,background,96.0,101.0,5,1440,1515
20,-3gFrKiC99I,background,background,101.0,106.0,5,1515,1590
21,-3gFrKiC99I,background,background,106.0,111.0,5,1590,1665
22,-3gFrKiC99I,background,background,111.0,116.0,5,1665,1740
23,-3gFrKiC99I,background,background,116.0,121.0,5,1740,1815
24,-3gFrKiC99I,background,background,121.0,126.0,5,1815,1890
25,-3gFrKiC99I,background,background,126.0,131.0,5,1890,1965
26,-3gFrKiC99I,background,background,131.0,136.0,5,1965,2040
27,-3gFrKiC99I,cutting,cutting,136.0,141.0,5,2040,2115
28,-3gFrKiC99I,background,background,143.0,148.0,5,2145,2220
29,-3gFrKiC99I,cutting,cutting,148.0,153.0,5,2220,2295
30,-3gFrKiC99I,background,background,155.0,160.0,5,2325,2400
31,-3gFrKiC99I,background,background,160.0,165.0,5,2400,2475
32,-3gFrKiC99I,cutting,cutting,166.0,171.0,5,2490,2565
33,-3gFrKiC99I,cutting,cutting,171.0,176.0,5,2565,2640
34,-3gFrKiC99I,cutting,cutting,176.0,181.0,5,2640,2715
35,-3gFrKiC99I,cutting,cutting,181.0,186.0,5,2715,2790
36,-3gFrKiC99I,background,background,187.0,192.0,5,2805,2880
37,-3gFrKiC99I,cutting,cutting,196.0,201.0,5,2940,3015
38,-3gFrKiC99I,cutting,cutting,201.0,206.0,5,3015,3090
39,-3gFrKiC99I,background,background,210.0,215.0,5,3150,3225
40,-3gFrKiC99I,cutting,cutting,217.0,222.0,5,3255,3330
41,-3gFrKiC99I,cutting,cutting,222.0,227.0,5,3330,3405
42,-3gFrKiC99I,cutting,cutting,227.0,232.0,5,3405,3480
43,-3gFrKiC99I,cutting,cutting,232.0,237.0,5,3480,3555
44,-3gFrKiC99I,background,background,247.0,252.0,5,3705,3780
45,-3gFrKiC99I,background,background,252.0,257.0,5,3780,3855
46,-3gFrKiC99I,background,background,257.0,262.0,5,3855,3930
47,-3gFrKiC99I,background,background,262.0,267.0,5,3930,4005
48,-3gFrKiC99I,background,background,267.0,272.0,5,4005,4080
49,-3gFrKiC99I,background,background,272.0,277.0,5,4080,4155
50,-3gFrKiC99I,cutting,cutting,278.0,283.0,5,4170,4245
51,-3gFrKiC99I,background,background,292.0,297.0,5,4380,4455
52,-3gFrKiC99I,background,background,297.0,302.0,5,4455,4530
53,-3gFrKiC99I,background,background,302.0,307.0,5,4530,4605
54,-3gFrKiC99I,background,background,307.0,312.0,5,4605,4680
55,-3gFrKiC99I,background,background,320.0,325.0,5,4800,4875
56,-3gFrKiC99I,background,background,325.0,330.0,5,4875,4950
57,-3gFrKiC99I,cutting,cutting,334.0,339.0,5,5010,5085
58,-3gFrKiC99I,cutting,cutting,343.0,348.0,5,5145,5220
59,-3gFrKiC99I,background,background,349.0,354.0,5,5235,5310
60,-3gFrKiC99I,cutting,cutting,355.0,360.0,5,5325,5400
61,-3gFrKiC99I,background,background,362.0,367.0,5,5430,5505
62,-3gFrKiC99I,background,background,367.0,372.0,5,5505,5580
63,-3gFrKiC99I,background,background,372.0,377.0,5,5580,5655
64,-3gFrKiC99I,cutting,cutting,380.0,385.0,5,5700,5775
65,-3gFrKiC99I,background,background,395.0,400.0,5,5925,6000
66,-3gFrKiC99I,background,background,400.0,405.0,5,6000,6075
67,-3gFrKiC99I,background,background,405.0,410.0,5,6075,6150
