,Unnamed: 0,Unnamed: 0.1,video_id,labeler_2,labeler_1,start_seconds,end_seconds,duration,start_frame,end_frame,labeler_3
0,0,0,-3gFrKiC99I,background,background,0.0,5.0,5,0,75,background
1,1,1,-3gFrKiC99I,background,background,5.0,10.0,5,75,150,
2,2,2,-3gFrKiC99I,background,background,10.0,15.0,5,150,225,
3,3,3,-3gFrKiC99I,background,background,15.0,20.0,5,225,300,
4,4,4,-3gFrKiC99I,background,background,20.0,25.0,5,300,375,
5,5,5,-3gFrKiC99I,background,background,25.0,30.0,5,375,450,
6,6,6,-3gFrKiC99I,cutting,background,30.0,35.0,5,450,525,cutting
7,7,7,-3gFrKiC99I,cutting,background,36.0,41.0,5,540,615,cutting
8,8,8,-3gFrKiC99I,cutting,background,41.0,46.0,5,615,690,cutting
9,9,9,-3gFrKiC99I,cutting,background,46.0,51.0,5,690,765,cutting
10,10,10,-3gFrKiC99I,cutting,background,51.0,56.0,5,765,840,cutting
11,11,11,-3gFrKiC99I,cutting,background,56.0,61.0,5,840,915,cutting
12,12,12,-3gFrKiC99I,background,background,61.0,66.0,5,915,990,
13,13,13,-3gFrKiC99I,background,background,66.0,71.0,5,990,1065,
14,14,14,-3gFrKiC99I,cutting,background,71.0,76.0,5,1065,1140,background
15,15,15,-3gFrKiC99I,cutting,background,76.0,81.0,5,1140,1215,background
16,16,16,-3gFrKiC99I,cutting,background,81.0,86.0,5,1215,1290,background
17,17,17,-3gFrKiC99I,cutting,background,86.0,91.0,5,1290,1365,background
18,18,18,-3gFrKiC99I,cutting,background,91.0,96.0,5,1365,1440,background
19,19,19,-3gFrKiC99I,cutting,background,96.0,101.0,5,1440,1515,background
20,20,20,-3gFrKiC99I,cutting,background,101.0,106.0,5,1515,1590,background
21,21,21,-3gFrKiC99I,cutting,background,106.0,111.0,5,1590,1665,background
22,22,22,-3gFrKiC99I,cutting,background,111.0,116.0,5,1665,1740,background
23,23,23,-3gFrKiC99I,cutting,background,116.0,121.0,5,1740,1815,background
24,24,24,-3gFrKiC99I,cutting,background,121.0,126.0,5,1815,1890,background
25,25,25,-3gFrKiC99I,cutting,background,126.0,131.0,5,1890,1965,background
26,26,26,-3gFrKiC99I,background,background,131.0,136.0,5,1965,2040,
27,27,27,-3gFrKiC99I,cutting,cutting,136.0,141.0,5,2040,2115,
28,28,28,-3gFrKiC99I,cutting,background,143.0,148.0,5,2145,2220,cutting
29,29,29,-3gFrKiC99I,cutting,cutting,148.0,153.0,5,2220,2295,
30,30,30,-3gFrKiC99I,cutting,background,155.0,160.0,5,2325,2400,cutting
31,31,31,-3gFrKiC99I,cutting,background,160.0,165.0,5,2400,2475,cutting
32,32,32,-3gFrKiC99I,cutting,cutting,166.0,171.0,5,2490,2565,
33,33,33,-3gFrKiC99I,cutting,cutting,171.0,176.0,5,2565,2640,
