,video_id,labeler_2,labeler_1,duration,labeler_3,label,start_seconds,end_seconds
0,-3gFrKiC99I,background,background,30.0,background,background,0.0,30.0
1,-3gFrKiC99I,cutting,background,31.0,cutting,cutting,30.0,61.0
2,-3gFrKiC99I,background,background,75.0,,background,61.0,136.0
3,-3gFrKiC99I,cutting,cutting,51.0,,cutting,136.0,187.0
4,-3gFrKiC99I,cutting,background,9.0,background,background,187.0,196.0
5,-3gFrKiC99I,cutting,cutting,10.0,,cutting,196.0,206.0
6,-3gFrKiC99I,,,4.0,,background,206.0,210.0
7,-3gFrKiC99I,cutting,background,27.0,cutting,cutting,210.0,237.0
8,-3gFrKiC99I,,,7.0,,background,237.0,244.0
9,-3gFrKiC99I,,cutting,39.0,,cutting,244.0,283.0
10,-3gFrKiC99I,,,6.0,,background,283.0,289.0
11,-3gFrKiC99I,,cutting,41.0,,cutting,289.0,330.0
12,-3gFrKiC99I,,,4.0,,background,330.0,334.0
13,-3gFrKiC99I,cutting,cutting,5.0,,cutting,334.0,339.0
14,-3gFrKiC99I,,,4.0,,background,339.0,343.0
15,-3gFrKiC99I,cutting,cutting,6.0,,cutting,343.0,349.0
16,-3gFrKiC99I,cutting,background,6.0,background,background,349.0,355.0
17,-3gFrKiC99I,cutting,cutting,7.0,,cutting,355.0,362.0
18,-3gFrKiC99I,cutting,background,18.0,background,background,362.0,380.0
19,-3gFrKiC99I,cutting,cutting,5.0,,cutting,380.0,385.0
20,-3gFrKiC99I,,,6.0,,background,385.0,391.0
21,-3gFrKiC99I,,cutting,4.0,,cutting,391.0,395.0
22,-3gFrKiC99I,cutting,background,10.0,suturing,suturing,395.0,405.0
23,-3gFrKiC99I,background,background,5.0,,background,405.0,410.0
24,-3gFrKiC99I,suturing,background,9.0,suturing,suturing,410.0,419.0
25,-3gFrKiC99I,suturing,background,22.0,abstain,abstain,419.0,441.0
26,-3gFrKiC99I,suturing,suturing,6.0,,suturing,441.0,447.0
27,-3gFrKiC99I,suturing,background,5.0,tying,tying,447.0,452.0
28,-3gFrKiC99I,,suturing,4.0,,suturing,452.0,456.0
29,-3gFrKiC99I,,,4.0,,background,456.0,460.0
30,-3gFrKiC99I,tying,tying,5.0,,tying,460.0,465.0
31,-3gFrKiC99I,,,4.0,,background,465.0,469.0
32,-3gFrKiC99I,suturing,background,10.0,suturing,suturing,469.0,479.0
33,-3gFrKiC99I,,,3.0,,background,479.0,482.0
34,-3gFrKiC99I,,suturing,41.0,,suturing,482.0,523.0
35,-3gFrKiC99I,tying,tying,5.0,,tying,523.0,528.0
36,-3gFrKiC99I,tying,background,5.0,background,background,528.0,533.0
37,-3gFrKiC99I,suturing,background,5.0,suturing,suturing,533.0,538.0
38,-3gFrKiC99I,,,4.0,,background,538.0,542.0
39,-3gFrKiC99I,suturing,suturing,11.0,,suturing,542.0,553.0
40,-3gFrKiC99I,tying,tying,5.0,,tying,553.0,558.0
41,-3gFrKiC99I,tying,background,6.0,background,background,558.0,564.0
42,-3gFrKiC99I,suturing,suturing,5.0,,suturing,564.0,569.0
43,-3gFrKiC99I,,,4.0,,background,569.0,573.0
44,-3gFrKiC99I,tying,tying,5.0,,tying,573.0,578.0
45,-3gFrKiC99I,,,3.0,,background,578.0,581.0
46,-3gFrKiC99I,,suturing,3.0,,suturing,581.0,584.0
47,-3gFrKiC99I,tying,background,9.0,tying,tying,584.0,593.0
48,-3gFrKiC99I,suturing,background,16.0,suturing,suturing,593.0,609.0
49,-3gFrKiC99I,,,4.0,,background,609.0,613.0
50,-3gFrKiC99I,suturing,suturing,10.0,,suturing,613.0,623.0
51,-3gFrKiC99I,,,7.0,,background,623.0,630.0
52,-3gFrKiC99I,suturing,suturing,69.0,,suturing,630.0,699.0
53,-3gFrKiC99I,,,4.0,,background,699.0,703.0
54,-3gFrKiC99I,,suturing,6.0,,suturing,703.0,709.0
55,-3gFrKiC99I,,,4.0,,background,709.0,713.0
