,video_id,video_url,youtube_url,duration_seconds,annotations,seconds_annotated,cutting,tying,suturing,quality,severe_jumps,style
0,BWGNKectNVA,https://marvl-surgery.s3.amazonaws.com/videos/BWGNKectNVA.mp4,https://www.youtube.com/watch?v=BWGNKectNVA,592.0,13,241,2,0,11,good,no,non_overhead
1,TZ9IgsIMRW4,https://marvl-surgery.s3.amazonaws.com/videos/TZ9IgsIMRW4.mp4,https://www.youtube.com/watch?v=TZ9IgsIMRW4,306.0,6,129,4,1,1,bad,no,non_overhead
2,1yd_OrU2apY,https://marvl-surgery.s3.amazonaws.com/videos/1yd_OrU2apY.mp4,https://www.youtube.com/watch?v=1yd_OrU2apY,1173.0,30,605,18,6,6,okay,yes,non_overhead
3,1EBmECJP-Vk,https://marvl-surgery.s3.amazonaws.com/videos/1EBmECJP-Vk.mp4,https://www.youtube.com/watch?v=1EBmECJP-Vk,312.0,4,82,4,0,0,okay,no,non_overhead
4,Epicflt4WBQ,https://marvl-surgery.s3.amazonaws.com/videos/Epicflt4WBQ.mp4,https://www.youtube.com/watch?v=Epicflt4WBQ,380.0,3,11,0,1,2,okay,no,non_overhead
5,xh9XtKhfzKU,https://marvl-surgery.s3.amazonaws.com/videos/xh9XtKhfzKU.mp4,https://www.youtube.com/watch?v=xh9XtKhfzKU,563.0,2,34,2,0,0,bad,no,non_overhead
6,GQQzVPySxPI,https://marvl-surgery.s3.amazonaws.com/videos/GQQzVPySxPI.mp4,https://www.youtube.com/watch?v=GQQzVPySxPI,451.0,16,285,5,4,7,good,no,non_overhead
7,eYrOeMtk0ng,https://marvl-surgery.s3.amazonaws.com/videos/eYrOeMtk0ng.mp4,https://www.youtube.com/watch?v=eYrOeMtk0ng,1062.0,23,457,3,8,12,okay,no,non_overhead
8,feF1aRtVAvc,https://marvl-surgery.s3.amazonaws.com/videos/feF1aRtVAvc.mp4,https://www.youtube.com/watch?v=feF1aRtVAvc,835.0,12,357,2,3,7,good,no,non_overhead
9,V7vkRKaUkn8,https://marvl-surgery.s3.amazonaws.com/videos/V7vkRKaUkn8.mp4,https://www.youtube.com/watch?v=V7vkRKaUkn8,750.0,19,99,17,1,1,bad,yes,non_overhead
