video_id,labeler_2,labeler_1,start_seconds,end_seconds,duration
GG7IByPZKec,cutting,cutting,138,153,15
GG7IByPZKec,cutting,tying,270,278,8
GG7IByPZKec,tying,tying,290,303,13
GG7IByPZKec,suturing,suturing,235,246,11
GG7IByPZKec,tying,suturing,247,252,5
GG7IByPZKec,suturing,suturing,253,268,15
mvYF35gw4Og,cutting,cutting,16,21,5
mvYF35gw4Og,suturing,suturing,83,91,8
K41gnfWPuhE,cutting,cutting,1,13,12
K41gnfWPuhE,cutting,cutting,30,55,25
K41gnfWPuhE,cutting,cutting,66,232,166
K41gnfWPuhE,cutting,cutting,246,290,44
dBRV4qa_qxk,,cutting,11,15,4
dBRV4qa_qxk,cutting,cutting,53,60,7
dBRV4qa_qxk,cutting,cutting,61,69,8
dBRV4qa_qxk,cutting,cutting,70,109,39
dBRV4qa_qxk,cutting,cutting,118,151,33
dBRV4qa_qxk,,cutting,204,206,2
dBRV4qa_qxk,cutting,cutting,285,294,9
dBRV4qa_qxk,tying,tying,163,168,5
dBRV4qa_qxk,suturing,tying,169,174,5
dBRV4qa_qxk,tying,tying,175,187,12
dBRV4qa_qxk,suturing,suturing,152,162,10
dBRV4qa_qxk,suturing,suturing,244,255,11
dBRV4qa_qxk,none,suturing,256,261,5
dBRV4qa_qxk,suturing,suturing,262,271,9
uVvBlWpwopw,,cutting,32,140,108
_B0S8vqgKT8,cutting,cutting,281,290,9
_B0S8vqgKT8,cutting,cutting,364,376,12
_B0S8vqgKT8,tying,tying,410,432,22
_B0S8vqgKT8,tying,tying,487,500,13
_B0S8vqgKT8,tying,tying,521,526,5
_B0S8vqgKT8,tying,tying,555,564,9
_B0S8vqgKT8,suturing,suturing,148,179,31
_B0S8vqgKT8,,suturing,183,186,3
_B0S8vqgKT8,suturing,suturing,206,244,38
_B0S8vqgKT8,suturing,suturing,469,484,15
_B0S8vqgKT8,suturing,suturing,508,520,12
_B0S8vqgKT8,suturing,suturing,541,554,13
VFyJ65hEF3k,cutting,cutting,66,74,8
VFyJ65hEF3k,,cutting,109,111,2
VFyJ65hEF3k,,cutting,164,168,4
VFyJ65hEF3k,,tying,18,20,2
VFyJ65hEF3k,,tying,81,82,1
VFyJ65hEF3k,,tying,130,133,3
VFyJ65hEF3k,tying,tying,148,155,7
VFyJ65hEF3k,,tying,192,196,4
RCU-R4p16SU,,cutting,40,90,50
RCU-R4p16SU,,cutting,114,185,71
RCU-R4p16SU,,cutting,309,314,5
RCU-R4p16SU,,cutting,415,600,185
RCU-R4p16SU,,tying,227,245,18
RCU-R4p16SU,,tying,370,390,20
RCU-R4p16SU,,suturing,197,225,28
RCU-R4p16SU,,suturing,336,369,33
tE8Ml8aDk18,cutting,cutting,86,124,38
tE8Ml8aDk18,cutting,cutting,132,154,22
tE8Ml8aDk18,cutting,cutting,156,167,11
tE8Ml8aDk18,suturing,suturing,255,260,5
tE8Ml8aDk18,tying,suturing,261,266,5
tE8Ml8aDk18,suturing,suturing,267,284,17
tE8Ml8aDk18,tying,suturing,285,290,5
tE8Ml8aDk18,suturing,suturing,291,302,11
tE8Ml8aDk18,tying,suturing,303,314,11
tE8Ml8aDk18,suturing,suturing,315,320,5
tE8Ml8aDk18,tying,suturing,321,326,5
tE8Ml8aDk18,abstain,suturing,327,332,5
tE8Ml8aDk18,none,suturing,333,338,5
tE8Ml8aDk18,suturing,suturing,339,344,5
tE8Ml8aDk18,tying,suturing,345,350,5
tE8Ml8aDk18,abstain,suturing,351,356,5
tE8Ml8aDk18,suturing,suturing,357,362,5
tE8Ml8aDk18,tying,suturing,363,368,5
tE8Ml8aDk18,suturing,suturing,369,374,5
tE8Ml8aDk18,tying,suturing,375,380,5
tE8Ml8aDk18,abstain,suturing,381,386,5
